,z,x,y,population_key
694,330,81,96,V2b_Cord1
695,330,69,127,V2b_Cord1
696,330,74,99,V2b_Cord1
697,330,63,124,V2b_Cord1
698,330,67,49,V2b_Cord1
699,330,64,102,V2b_Cord1
700,330,59,56,V2b_Cord1
701,333,111,56,V2b_Cord1
702,333,109,34,V2b_Cord1
703,333,123,156,V2b_Cord1
704,333,107,60,V2b_Cord1
705,333,103,81,V2b_Cord1
706,333,99,42,V2b_Cord1
707,333,117,176,V2b_Cord1
708,333,90,36,V2b_Cord1
709,333,106,147,V2b_Cord1
710,333,105,153,V2b_Cord1
711,333,100,156,V2b_Cord1
712,333,81,48,V2b_Cord1
713,333,79,54,V2b_Cord1
714,333,105,187,V2b_Cord1
715,333,75,48,V2b_Cord1
716,333,87,93,V2b_Cord1
717,333,96,165,V2b_Cord1
718,333,97,168,V2b_Cord1
719,333,94,136,V2b_Cord1
720,333,98,187,V2b_Cord1
721,333,92,163,V2b_Cord1
722,333,92,136,V2b_Cord1
723,333,88,109,V2b_Cord1
724,333,87,111,V2b_Cord1
725,333,73,96,V2b_Cord1
726,333,80,117,V2b_Cord1
727,333,72,126,V2b_Cord1
728,333,72,124,V2b_Cord1
729,333,69,114,V2b_Cord1
730,333,72,146,V2b_Cord1
731,333,69,118,V2b_Cord1
732,333,64,123,V2b_Cord1
733,333,39,89,V2b_Cord1
734,335,120,167,V2b_Cord1
735,335,113,183,V2b_Cord1
736,335,110,181,V2b_Cord1
737,335,105,191,V2b_Cord1
738,335,104,178,V2b_Cord1
739,335,104,159,V2b_Cord1
740,335,102,154,V2b_Cord1
741,335,101,163,V2b_Cord1
742,335,91,167,V2b_Cord1
743,335,95,151,V2b_Cord1
744,335,103,82,V2b_Cord1
745,335,85,152,V2b_Cord1
746,335,104,67,V2b_Cord1
747,335,91,136,V2b_Cord1
748,335,88,136,V2b_Cord1
749,335,98,74,V2b_Cord1
750,335,95,93,V2b_Cord1
751,335,97,69,V2b_Cord1
752,335,102,50,V2b_Cord1
753,335,99,57,V2b_Cord1
754,335,77,136,V2b_Cord1
755,335,95,49,V2b_Cord1
756,335,77,123,V2b_Cord1
757,335,84,102,V2b_Cord1
758,335,79,116,V2b_Cord1
759,335,82,98,V2b_Cord1
760,335,91,43,V2b_Cord1
761,335,79,105,V2b_Cord1
762,335,73,117,V2b_Cord1
763,335,71,119,V2b_Cord1
764,335,87,48,V2b_Cord1
765,335,77,104,V2b_Cord1
766,335,76,97,V2b_Cord1
767,335,80,67,V2b_Cord1
768,335,78,69,V2b_Cord1
769,335,68,104,V2b_Cord1
770,335,65,100,V2b_Cord1
771,337,115,85,V2b_Cord1
772,337,112,65,V2b_Cord1
773,337,110,65,V2b_Cord1
774,337,104,185,V2b_Cord1
775,337,95,65,V2b_Cord1
776,337,99,90,V2b_Cord1
777,337,92,177,V2b_Cord1
778,337,99,90,V2b_Cord1
779,337,92,169,V2b_Cord1
780,337,95,35,V2b_Cord1
781,337,89,176,V2b_Cord1
