z,x,y
182,88,73
583,90,184
672,70,153
74,72,148
115,89,171
79,111,76
176,104,148
164,71,90
441,120,180
260,112,172
76,124,81
726,93,63
161,118,86
176,66,88
102,81,162
104,80,47
642,75,73
377,99,30
627,85,29
643,69,182
669,73,46
620,73,150
100,62,127
79,113,70
102,77,74
643,67,44
79,90,124
717,85,177
343,62,129
775,61,60
204,72,158
779,72,78
385,69,91
151,78,77
594,90,96
395,80,190
310,121,159
293,79,63
651,100,62
548,83,196
233,85,61
184,103,68
267,73,167
569,79,137
522,87,49
522,70,68
749,72,166
79,102,67
457,84,163
536,76,62
766,70,58
247,75,182
609,90,171
615,96,192
636,92,193
593,92,192
779,61,138
419,83,125
624,108,187
647,75,178
125,109,90
721,90,67
702,59,161
121,60,152
96,110,72
612,67,93
250,124,70
157,84,163
749,77,78
108,123,70
270,67,61
366,60,84
787,98,162
353,115,79
66,71,162
326,71,88
271,118,147
664,92,186
102,68,75
0,0,0
81,104,87
327,109,162
672,79,57
193,82,56
277,60,63
106,96,164
357,117,52
252,123,157
780,65,117
718,68,73
539,75,95
709,83,59
418,104,175
696,70,176
108,119,158
145,108,77
239,87,157
159,102,160
414,82,37
115,122,76
279,64,157
89,81,69
635,69,159
361,57,125
86,88,59
743,66,93
675,122,44
123,119,85
323,121,62
366,106,187
708,73,74
719,105,168
290,75,50
267,76,52
279,65,78
63,68,55
160,107,156
557,81,168
635,63,70
739,111,186
670,67,63
171,74,130
420,60,136
504,98,34
418,82,130
560,71,170
209,105,155
214,69,115
601,82,184
527,94,157
155,75,79
265,77,176
691,89,165
600,68,42
190,107,138
650,71,60
515,77,35
655,67,143
391,84,49
366,85,150
784,79,169
203,79,68
73,107,144
77,92,64
423,78,72
599,73,148
215,117,171
503,94,194
748,81,53
317,122,68
616,115,52
754,75,161
716,102,147
561,101,167
515,79,187
190,122,77
189,105,149
611,96,192
777,73,169
259,95,72
193,96,159
644,60,167
223,82,62
664,87,104
145,79,168
734,107,149
236,86,165
145,94,175
293,100,173
94,95,60
279,114,153
601,61,54
656,110,196
40,108,62
731,96,70
154,74,78
744,71,47
129,124,143
644,95,186
63,118,147
80,119,76
332,82,138
184,75,95
241,99,166
695,96,90
46,73,128
723,85,68
646,66,45
131,88,75
608,88,35
632,58,152
173,102,126
257,53,150
736,86,147
574,69,154
733,75,85
198,102,77
125,109,90
565,89,36
220,90,106
417,95,41
548,93,51
646,91,151
156,101,75
345,64,75
80,77,75
377,114,43
740,101,70
656,94,171
354,96,183
305,95,186
454,104,34
710,94,70
275,121,68
753,80,57
314,84,164
718,79,61
195,89,160
718,67,159
0,0,0
507,82,182
602,91,56
319,100,65
328,87,71
487,76,101
298,83,66
552,77,157
601,77,60
9,97,51
167,71,52
465,91,68
192,95,83
606,108,50
657,88,105
586,91,47
206,61,89
342,120,53
373,92,44
736,86,74
470,85,153
365,80,35
0,0,0
616,111,200
627,90,93
758,76,145
677,105,57
720,78,44
376,54,155
682,68,157
304,110,150
575,78,148
622,93,184
173,99,158
286,116,60
789,68,159
675,96,194
125,79,150
266,75,60
0,0,0
645,92,171
114,88,160
675,72,168
233,99,160
692,117,49
706,97,169
592,96,174
693,99,159
620,87,193
118,116,68
516,79,121
731,89,52
651,62,66
384,82,41
152,74,60
336,104,174
396,91,98
0,0,0
614,109,57
282,100,163
649,93,58
85,66,99
174,110,82
108,120,74
529,116,167
166,78,152
603,69,74
760,105,151
711,73,53
635,104,202
222,97,74
164,87,152
332,107,185
789,79,61
633,90,144
545,87,189
703,102,58
731,71,57
554,103,183
466,100,72
471,106,147
0,0,0
266,114,54
0,0,0
560,91,102
330,105,154
278,54,168
285,84,172
145,108,130
142,94,77
230,88,154
524,84,132
591,77,130
200,81,103
104,74,165
598,70,57
679,76,179
521,103,24
394,80,146
102,104,73
730,68,179
328,71,81
234,99,143
489,54,65
732,86,83
239,112,145
640,74,153
129,63,50
686,100,61
292,95,86
757,75,155
173,87,70
674,72,85
384,110,44
768,67,51
109,86,175
190,124,76
700,98,190
754,82,154
86,118,59
519,78,40
637,64,129
232,117,169
