z,x,y
309,66,85
510,84,129
150,92,80
323,111,92
644,82,135
141,108,139
275,71,143
446,110,40
405,109,57
789,76,91
634,83,140
576,87,91
262,61,144
680,87,62
418,77,163
672,82,81
312,51,148
661,90,102
766,67,87
260,97,83
516,70,173
454,102,59
102,76,145
83,98,144
365,99,181
86,84,91
134,88,152
542,80,83
348,87,169
50,95,139
741,105,179
748,83,84
381,90,160
649,105,138
648,88,126
389,112,185
74,120,138
757,59,76
58,81,141
630,94,163
644,95,150
481,98,63
579,91,78
752,69,63
537,78,161
753,80,75
0,0,0
748,64,87
104,75,87
320,69,84
531,104,44
250,87,132
242,52,78
619,47,74
317,92,89
474,75,132
453,86,60
283,77,92
474,117,187
642,85,95
777,96,166
583,83,44
390,96,48
728,83,101
271,71,142
36,116,62
706,21,71
679,79,89
514,107,176
483,88,86
242,76,135
89,41,187
778,81,89
592,77,145
579,95,156
451,119,180
457,78,77
109,97,95
474,65,82
774,84,147
395,78,129
63,103,131
745,92,147
348,98,37
355,105,35
308,82,118
245,121,147
692,83,152
434,97,62
327,73,64
150,47,73
102,84,85
672,87,177
18,85,72
573,76,68
385,91,92
656,73,83
42,79,123
714,70,134
693,84,123
177,109,155
482,87,148
408,78,88
348,100,61
789,61,133
307,106,147
788,102,81
609,75,36
92,74,145
344,98,189
290,65,139
786,90,70
539,87,94
465,109,179
270,95,82
683,86,136
105,117,138
164,70,145
603,70,140
789,92,87
160,99,156
93,74,78
84,65,67
142,63,137
369,87,146
540,49,161
34,77,148
258,107,92
458,115,175
726,67,152
100,64,83
533,71,157
574,78,80
333,97,92
748,81,61
674,83,77
421,87,139
778,87,89
405,97,77
534,81,142
708,78,142
170,61,107
72,111,62
775,86,147
